cabinet,type,name type,scientific name,common name,number,taxonomic classification,taxonomic classifivation
1.16,a,scientific,antilocapra americana,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Antilocapridae', 'Antilocapra', 'Antilocapra americana', 'Antilocapra americana peninsularis']"
1.16,a,scientific,ovis dalli,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Ovis', 'Ovis dalli', 'Ovis dalli dalli', 'Ovis dalli stonei']"
1.17,a,scientific,ovis dalli stonei,,4.0,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Caprinae', 'Ovis', 'Ovis dalli', 'Ovis dalli stonei']"
1.18,i,scientific,eubalaena glacialis,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Cetacea', 'Mysticeti', 'Balaenidae', 'Eubalaena', 'Eubalaena glacialis']"
1.18,a,scientific,ourebia ourebi,oribi,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Antilopinae', 'Ourebia', 'Ourebia ourebi', 'Ourebia ourebi dorcas', 'Ourebia ourebi gallarum', 'Ourebia ourebi haggardi', 'Ourebia ourebi hastata', 'Ourebia ourebi montana', 'Ourebia ourebi ourebi', 'Ourebia ourebi quadriscopa', 'Ourebia ourebi rutila']"
1.18,a,scientific,ziphius cavirostris,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Cetacea', 'Odontoceti', 'Hyperoodontidae', 'Ziphius', 'Ziphius cavirostris']"
1.19,a,scientific,hippopotamus amphibius,cuvier's beaked whale,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Hippopotamidae', 'Hippopotamus', 'Hippopotamus amphibius', 'Hippopotamus amphibius amphibius', 'Hippopotamus amphibius capensis', 'Hippopotamus amphibius kiboko']"
1.19,a,common,mesopladon carlshubbi,beaked whale,,,FIX
1.19,i,common,mesopladon carlshubbi,beaked whale,,,FIX
1.20,i,scientific,phocoenoides dallie,dall's porpoise,,,FIX
1.21,i,scientific,orcinus orca,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Cetacea', 'Odontoceti', 'Delphinidae', 'Orcinus', 'Orcinus orca']"
