cabinet,type,name type,scientific name,common name,number,taxonomic classification
2.06-2.09,a,scientific,turaco leucotis,,,
2.06-2.09,a,scientific,recurvirostra avosetta,,,
2.06-2.09,a,scientific,cyanocitta cristata,,,
2.06-2.09,a,scientific,plegadis falcinellus,,,
2.06-2.09,a,common,platycercus eximius x icterotis,eastern rosella,,
2.06-2.09,a,scientific,upupa epops,,,
2.06-2.09,a,scientific,tauraco erythrolophus,,,
2.06-2.09,a,scientific,puffinus subalaris,,,
2.06-2.09,a,scientific,eurystomus glaucurus,,,
2.06-2.09,a,scientific,merops apiaster,,,
2.06-2.09,a,scientific,sula dactylatra,,,
2.06-2.09,a,scientific,phaethon aethereus,,,
2.06-2.09,a,scientific,balearica pavonina,,,
2.06-2.09,a,scientific,ardea purpurea,,,
2.06-2.09,a,scientific,antigone canadensis,,,
2.06-2.09,a,scientific,chloephaga picta,,,
2.06-2.09,a,scientific,jacana jacana,,,
2.06-2.09,a,scientific,buteo jamaicensis,,,
2.06-2.09,a,scientific,gallus gallus,,,
2.06-2.09,a,scientific,falco vespertinus,,,
2.06-2.09,a,scientific,melanerpes erythrocephalus,,,
2.06-2.09,a,scientific,lagopus lagopus,,,
2.06-2.09,a,scientific,chloephaga poliocephala,,,
2.06-2.09,a,scientific,limnodromus scolopaceus,,,
2.06-2.09,a,scientific,psittacara holochlora,,,
2.06-2.09,a,scientific,alcedo atthis,,,
2.10-2.21,a,scientific,tragelaphus strepsiceros,,,
2.10-2.21,a,scientific,taurotragus oryx,,,
2.10-2.21,a,scientific,damaliscus pygargus phillipsi,,,
2.10-2.21,a,common,alcephalus buselaphus lelwel x cokii,lelwel hartebeest,,
2.10-2.21,a,scientific,connochaetes taurinus,,,
2.10-2.21,a,scientific,oryx gazella,,,
2.10-2.21,a,scientific,phacochoerus africanus,,,
2.10-2.21,a,scientific,antidorcas marsupialis,,,
2.10-2.21,a,scientific,nanger granti,,,
2.10-2.21,a,scientific,aepyceros melampus,,,
2.10-2.21,a,common,eudorcas nasalis,thomson's gazella,,
2.10-2.21,a,scientific,ammotragus lervia,,,
2.10-2.21,a,common,ovis orientalis musimon,mouflon,,
2.10-2.21,a,scientific,sus scrofa,,,
2.10-2.21,a,scientific,procapra gutturosa,,,
2.10-2.21,a,common,ovis gmelini,mouflon,,
2.10-2.21,a,scientific,ovis cycloceros,,,
2.10-2.21,a,common,ovis laristanica,mouflon,,
2.10-2.21,a,scientific,panthera onca,,,
2.10-2.21,a,scientific,alces alces,,,
2.10-2.21,a,scientific,pecari tajacu,,,
2.10-2.21,a,scientific,antilocapra americana,,,
2.10-2.21,a,scientific,ovis dalli stonei,,,
2.10-2.21,a,scientific,odocoileus virginianus,,,
2.10-2.21,a,scientific,oreamnos americanus,,,
2.10-2.21,a,scientific,ovis dalli dalli,,,
2.10-2.21,a,common,cervus canadensis,elk,,
2.10-2.21,a,scientific,ovibos moschatus,,,
2.10-2.21,a,scientific,rangifer tarandus caribou,,,
3.01,i,scientific,equus caballus,,,
3.02,i,scientific,equus zebra,,,
3.03,i,scientific,rhinoceros unicornis,,,
3.03,a,scientific,diceros bicornis,,2,
3.04,i,scientific,sus scrofa,,,
3.05,i,scientific,hippopotamus amphibius,,,
3.06,a,scientific,alces alces,,,
3.06,a,common,tragulus,mouse-deer,,
3.07,i,scientific,alces alces,,,
3.08,i,scientific,cervus elaphus,,,
3.08.5,a,common,,plains bison,,
3.08.5,a,scientific,mammuthus,,,
3.09,i,scientific,dama dama,,,
3.10,a,scientific,cervus elaphus,,2,
3.10,a,scientific,odocoileus hemionus,,2,
3.10,a,scientific,cervus elaphus,,,
3.11,i,scientific,dama dama,,,
3.11,a,scientific,mazama gouazoubira,,,
3.11,a,common,cervus canadensis,elk,,
3.11,a,scientific,odocoileus hemionus columbianus,,2,
3.11,a,scientific,odocoileus hemionus,,,
3.12,i,scientific,odocoileus hemionus,,,
3.13,a,scientific,odocoileus hemionus,,4,
3.14,i,scientific,odocoileus hemionus,,,
3.15,a,scientific,odocoileus hemionus columbianus,,,
3.16,i,scientific,odocoileus virginianus,,,
3.17,a,scientific,odocoileus hemionus columbianus,,,
3.17,a,scientific,odocoileus virginianus,,,
3.18,i,scientific,odocoileus virginianus,,,
3.20,i,scientific,odocoileus virginianus,,,
3.21,a,scientific,odocoileus hemionus sitkensis,,,
3.22,i,scientific,odocoileus virginianus,,,
